,citing_author,paper_citing_id,cited_author,paper_cited_id,time
0,0,0,15,15,0
1,1,1,15,15,0
2,2,2,15,15,0
3,3,3,17,17,0
4,4,4,8,8,0
5,5,5,6,6,0
6,6,6,0,0,0
7,7,7,18,18,0
8,8,8,13,13,0
9,9,9,8,8,0
10,10,10,14,14,0
11,11,11,13,13,0
12,12,12,19,19,0
13,13,13,15,15,0
14,14,14,17,17,0
15,15,15,16,16,0
16,16,16,4,4,0
17,17,17,9,9,0
18,18,18,7,7,0
19,19,19,3,3,0
20,0,20,15,15,1
21,0,20,12,12,1
22,0,20,9,9,1
23,1,21,10,10,1
24,1,21,13,13,1
25,1,21,2,2,1
26,2,22,3,3,1
27,2,22,8,8,1
28,3,23,16,16,1
29,4,24,15,15,1
30,4,24,18,18,1
31,4,24,13,13,1
32,5,25,8,8,1
33,6,26,15,15,1
34,6,26,16,16,1
35,6,26,5,5,1
36,7,27,9,9,1
37,8,28,13,13,1
38,8,28,8,8,1
39,9,29,3,3,1
40,9,29,18,18,1
41,9,29,4,4,1
42,10,30,0,0,1
43,10,30,18,18,1
44,10,30,7,7,1
45,11,31,16,16,1
46,11,31,14,14,1
47,12,32,15,15,1
48,12,32,9,9,1
49,13,33,13,13,1
50,13,33,16,16,1
51,14,34,13,13,1
52,14,34,9,9,1
53,15,35,8,8,1
54,15,35,18,18,1
55,15,35,15,15,1
56,16,36,13,13,1
57,17,37,5,5,1
58,17,37,2,2,1
59,17,37,7,7,1
60,18,38,9,9,1
61,19,39,10,10,1
62,0,40,10,10,2
63,1,41,2,2,2
64,1,41,17,17,2
65,2,42,15,15,2
66,2,42,10,10,2
67,2,42,2,2,2
68,3,43,14,14,2
69,4,44,3,3,2
70,5,45,0,20,2
71,5,45,13,13,2
72,5,45,7,27,2
73,6,46,8,8,2
74,6,46,0,0,2
75,7,47,7,7,2
76,8,48,7,7,2
77,8,48,16,16,2
78,9,49,1,21,2
79,9,49,12,12,2
80,9,49,11,11,2
81,10,50,15,15,2
82,10,50,19,39,2
83,10,50,5,5,2
84,11,51,9,9,2
85,11,51,15,15,2
86,11,51,3,3,2
87,12,52,0,0,2
88,12,52,12,32,2
89,12,52,9,29,2
90,13,53,8,8,2
91,13,53,16,16,2
92,14,54,5,5,2
93,14,54,6,6,2
94,14,54,15,15,2
95,15,55,5,25,2
96,15,55,5,5,2
97,15,55,15,15,2
98,16,56,18,18,2
99,16,56,13,13,2
100,17,57,12,12,2
101,17,57,1,21,2
102,17,57,9,29,2
103,18,58,8,8,2
104,19,59,9,9,2
105,19,59,14,14,2
106,19,59,6,6,2
107,0,60,3,3,3
108,0,60,15,15,3
109,0,60,9,9,3
110,1,61,8,8,3
111,1,61,18,58,3
112,1,61,15,15,3
113,2,62,19,39,3
114,2,62,16,16,3
115,2,62,16,36,3
116,3,63,9,9,3
117,3,63,18,18,3
118,3,63,12,12,3
119,4,64,15,15,3
120,4,64,18,38,3
121,4,64,18,18,3
122,5,65,14,14,3
123,5,65,16,16,3
124,6,66,7,7,3
125,6,66,16,16,3
126,7,67,0,0,3
127,8,68,15,15,3
128,8,68,5,5,3
129,8,68,3,3,3
130,9,69,12,12,3
131,9,69,15,15,3
132,9,69,11,31,3
133,10,70,12,32,3
134,10,70,14,14,3
135,10,70,2,2,3
136,11,71,16,16,3
137,11,71,0,0,3
138,11,71,13,53,3
139,12,72,5,45,3
140,13,73,13,53,3
141,13,73,14,14,3
142,13,73,0,0,3
143,14,74,18,58,3
144,15,75,16,36,3
145,15,75,14,14,3
146,15,75,16,16,3
147,16,76,14,14,3
148,16,76,15,15,3
149,17,77,6,6,3
150,17,77,13,13,3
151,18,78,12,12,3
152,19,79,7,7,3
153,19,79,1,21,3
154,19,79,10,50,3
155,0,80,8,8,4
156,0,80,10,10,4
157,0,80,6,6,4
158,1,81,8,8,4
159,1,81,16,16,4
160,2,82,19,19,4
161,2,82,7,7,4
162,2,82,17,77,4
163,3,83,17,17,4
164,3,83,16,16,4
165,4,84,15,15,4
166,5,85,13,13,4
167,5,85,16,36,4
168,5,85,11,31,4
169,6,86,15,35,4
170,7,87,18,58,4
171,7,87,9,9,4
172,8,88,0,0,4
173,9,89,14,34,4
174,10,90,3,3,4
175,11,91,16,56,4
176,12,92,16,36,4
177,12,92,15,15,4
178,12,92,8,8,4
179,13,93,11,11,4
180,13,93,17,77,4
181,13,93,12,12,4
182,14,94,2,2,4
183,14,94,15,15,4
184,15,95,3,3,4
185,16,96,13,53,4
186,16,96,14,14,4
187,16,96,17,17,4
188,17,97,18,38,4
189,17,97,6,6,4
190,18,98,0,20,4
191,18,98,16,16,4
192,18,98,7,7,4
193,19,99,16,16,4
194,0,100,17,97,5
195,0,100,18,18,5
196,1,101,10,10,5
197,2,102,0,0,5
198,2,102,12,12,5
199,3,103,18,38,5
200,3,103,8,68,5
201,4,104,18,18,5
202,5,105,0,20,5
203,6,106,15,15,5
204,7,107,16,16,5
205,8,108,16,56,5
206,9,109,12,12,5
207,9,109,4,4,5
208,10,110,1,41,5
209,10,110,16,36,5
210,11,111,16,16,5
211,11,111,17,77,5
212,12,112,9,9,5
213,12,112,14,14,5
214,13,113,13,13,5
215,13,113,0,20,5
216,14,114,9,89,5
217,15,115,9,49,5
218,16,116,9,9,5
219,16,116,2,2,5
220,17,117,14,14,5
221,17,117,10,10,5
222,17,117,8,8,5
223,18,118,11,51,5
224,19,119,18,78,5
225,19,119,18,18,5
226,19,119,2,2,5
227,0,120,19,59,6
228,1,121,18,18,6
229,2,122,12,32,6
230,2,122,6,86,6
231,2,122,15,115,6
232,3,123,4,4,6
233,4,124,5,25,6
234,4,124,6,46,6
235,5,125,15,15,6
236,5,125,2,82,6
237,5,125,0,20,6
238,6,126,7,7,6
239,7,127,10,10,6
240,8,128,17,77,6
241,8,128,14,14,6
242,9,129,16,16,6
243,9,129,18,18,6
244,9,129,10,30,6
245,10,130,14,34,6
246,11,131,0,0,6
247,11,131,15,15,6
248,12,132,8,8,6
249,12,132,5,45,6
250,12,132,9,69,6
251,13,133,18,18,6
252,13,133,9,9,6
253,13,133,17,17,6
254,14,134,8,8,6
255,14,134,3,3,6
256,14,134,13,113,6
257,15,135,16,16,6
258,16,136,13,13,6
259,17,137,0,0,6
260,18,138,15,15,6
261,18,138,5,65,6
262,18,138,18,38,6
263,19,139,18,98,6
264,19,139,3,3,6
265,0,140,5,5,7
266,1,141,14,14,7
267,2,142,16,16,7
268,2,142,15,15,7
269,2,142,16,76,7
270,3,143,7,27,7
271,3,143,13,13,7
272,3,143,8,8,7
273,4,144,10,10,7
274,5,145,10,10,7
275,5,145,1,61,7
276,5,145,8,8,7
277,6,146,15,15,7
278,6,146,8,8,7
279,7,147,18,18,7
280,7,147,9,9,7
281,8,148,13,13,7
282,8,148,8,8,7
283,9,149,18,18,7
284,9,149,9,9,7
285,9,149,12,32,7
286,10,150,19,19,7
287,10,150,1,61,7
288,11,151,9,9,7
289,12,152,18,78,7
290,12,152,4,104,7
291,13,153,1,121,7
292,13,153,18,58,7
293,13,153,7,7,7
294,14,154,17,17,7
295,14,154,18,58,7
296,14,154,15,15,7
297,15,155,13,13,7
298,15,155,16,36,7
299,15,155,16,16,7
300,16,156,12,32,7
301,17,157,0,80,7
302,17,157,13,13,7
303,18,158,14,134,7
304,18,158,17,17,7
305,18,158,2,42,7
306,19,159,12,72,7
307,19,159,3,3,7
308,19,159,14,14,7
309,0,160,15,15,8
310,1,161,13,13,8
311,2,162,18,78,8
312,2,162,6,86,8
313,3,163,14,114,8
314,3,163,6,106,8
315,3,163,19,39,8
316,4,164,19,79,8
317,4,164,12,12,8
318,5,165,8,8,8
319,6,166,10,10,8
320,6,166,3,83,8
321,7,167,9,49,8
322,8,168,3,3,8
323,8,168,7,47,8
324,8,168,19,59,8
325,9,169,19,19,8
326,10,170,18,18,8
327,11,171,16,16,8
328,11,171,9,9,8
329,12,172,5,145,8
330,12,172,0,20,8
331,12,172,9,9,8
332,13,173,5,45,8
333,14,174,4,124,8
334,14,174,7,27,8
335,15,175,7,147,8
336,16,176,17,17,8
337,17,177,12,12,8
338,18,178,11,71,8
339,18,178,9,9,8
340,18,178,0,40,8
341,19,179,13,13,8
342,0,180,9,149,9
343,0,180,13,13,9
344,0,180,15,135,9
345,1,181,17,97,9
346,1,181,12,12,9
347,2,182,19,39,9
348,2,182,3,23,9
349,3,183,16,36,9
350,4,184,10,170,9
351,4,184,8,148,9
352,4,184,10,90,9
353,5,185,15,15,9
354,6,186,1,21,9
355,7,187,17,17,9
356,7,187,16,16,9
357,8,188,18,98,9
358,9,189,9,109,9
